task_description,due_date,keywords,effort_hours,is_urgent,priority
"Pay electricity bill.",2025-09-12,"bill, electricity, pay",0.5,1,high
"Renew car insurance.",2025-09-11,"car, insurance, renew",0.5,1,high
"Take out the trash and recycling.",2025-09-11,"trash, recycling, take out",0.25,1,high
"Prepare dinner for tonight.",2025-09-11,"dinner, cook, prepare",1,0,high
"Fix a leaky faucet in the kitchen.",2025-09-12,"leaky, faucet, fix",2,1,high
"Buy a gift for an anniversary party.",2025-09-12,"gift, anniversary, party",1,0,high
"Arrange for a plumber to fix the toilet.",2025-09-11,"plumber, toilet, fix",0.25,1,high
"Check the smoke detector batteries.",2025-09-11,"smoke detector, batteries, check",0.25,1,high
"Pay the rent.",2025-09-11,"rent, pay, due",0.25,1,high
"Take the dog to the vet.",2025-09-12,"dog, vet, appointment",1,0,high
"Review and update monthly budget.",2025-09-11,"review, budget, update",1,0,high
"File important tax documents.",2025-09-11,"tax, file, documents",2,1,high
"Shovel snow from the driveway.",2025-09-11,"shovel, snow, urgent",1,1,high
"Fix a running toilet.",2025-09-12,"fix, toilet, running",1,0,high
"Get a quote for home insurance.",2025-09-11,"insurance, home, quote",1,1,high
"Resolve a critical water leak.",2025-09-11,"water, leak, critical",1.5,1,high
"Finalize vacation itinerary.",2025-09-11,"vacation, itinerary, final",1.5,1,high
"Renew passport.",2025-09-11,"passport, renew, urgent",1,1,high
"Schedule a doctor's appointment.",2025-09-11,"doctor, appointment, schedule",0.25,1,high
"Unclog the bathroom sink.",2025-09-11,"unclog, sink, bathroom",1,1,high
"Fix a flat tire.",2025-09-11,"fix, flat tire, urgent",1,1,high
"Prepare dinner for guests tonight.",2025-09-11,"dinner, guests, prepare",1.5,1,high
"Wash the car.",2025-09-12,"wash, car, clean",1,0,high
"Take garbage out.",2025-09-11,"garbage, take out, routine",0.25,1,high
"Clean and wipe down all kitchen surfaces.",2025-09-11,"clean, kitchen, surfaces",0.5,0,high
"Fix a minor water leak.",2025-09-11,"fix, water, leak",1,1,high
"Fix a broken light fixture.",2025-09-11,"fix, light, broken",1.5,0,high
"Call to schedule an electrician.",2025-09-11,"call, electrician, schedule",0.25,0,high
"Renew prescription.",2025-09-11,"renew, prescription, urgent",0.5,1,high
"Get new glasses prescription.",2025-09-11,"glasses, prescription, get",1.5,0,high
"Pay off credit card balance.",2025-09-11,"credit card, pay, finance",0.5,1,high
"Book flights for family vacation.",2025-09-12,"flights, vacation, book",1,0,high
"Call utility company about an error on the bill.",2025-09-11,"utility, bill, error",0.5,1,high
"Take the dog to the vet.",2025-09-11,"dog, vet, appointment, urgent",1,1,high
"Pay off a loan before the deadline.",2025-09-11,"loan, pay, deadline",0.5,1,high
"Respond to an urgent email from landlord.",2025-09-11,"email, landlord, urgent",0.5,1,high
"Schedule an emergency plumbing repair.",2025-09-11,"plumbing, emergency, repair",0.5,1,high
"Finalize and sign mortgage papers.",2025-09-11,"mortgage, sign, papers",1.5,1,high
"Clean up a flood in the basement.",2025-09-11,"flood, basement, cleanup",4,1,high
"Escort elderly parent to doctor's appointment.",2025-09-11,"parent, doctor, escort",2,1,high
"Respond to a critical work message.",2025-09-11,"critical, work, message",0.5,1,high
"Attend a mandatory family gathering.",2025-09-11,"family, gathering, mandatory",3,1,high
"Submit tax returns before the deadline.",2025-09-11,"tax, returns, deadline",2,1,high
"Finalize funeral arrangements.",2025-09-11,"funeral, arrangements, final",3,1,high
"Pick up prescription medication.",2025-09-11,"prescription, medication, pick up",0.5,1,high
"Resolve an urgent issue with the alarm system.",2025-09-11,"alarm, urgent, resolve",1,1,high
"Submit insurance claim for a car accident.",2025-09-11,"insurance, claim, accident",1,1,high
"Attend a time-sensitive job interview.",2025-09-11,"job, interview, time-sensitive",2,1,high
"Pay off a credit card debt.",2025-09-11,"debt, pay, credit card",0.5,1,high
"Contact a lawyer about a legal issue.",2025-09-11,"lawyer, legal, issue",1,1,high
"Schedule a vet visit for a sick pet.",2025-09-11,"vet, sick, pet",0.5,1,high
"Call emergency services for a medical issue.",2025-09-11,"emergency, medical, services",0.25,1,high
"Resolve an urgent plumbing problem.",2025-09-11,"plumbing, urgent, problem",1.5,1,high
"Make a payment on a past-due account.",2025-09-11,"payment, past-due, account",0.5,1,high
"Attend a child's school conference.",2025-09-11,"child, school, conference",1,1,high
"Fix a gas leak in the kitchen.",2025-09-11,"gas, leak, fix",1,1,high
"Check on a family member with a health issue.",2025-09-11,"family, health, check",0.5,1,high
"Submit a time-sensitive job application.",2025-09-11,"job, application, time-sensitive",1,1,high
"Resolve an urgent issue with the home security system.",2025-09-11,"security, system, urgent",1,1,high
"Make a payment to avoid a late fee.",2025-09-11,"payment, late fee, avoid",0.5,1,high
"Attend an important court hearing.",2025-09-11,"court, hearing, important",3,1,high
"Water all the houseplants.",2025-09-13,"water, plants, routine",0.25,0,medium
"Call dentist to schedule check-up.",2025-09-14,"dentist, call, schedule",0.25,0,medium
"Return library books before the due date.",2025-09-14,"library, books, return",1,0,medium
"Bake a cake for a special occasion.",2025-09-14,"bake, cake, occasion",2,0,medium
"Buy new shoes for the kids.",2025-09-14,"shoes, kids, buy",1.5,0,medium
"Pick up prescriptions from the pharmacy.",2025-09-13,"prescriptions, pharmacy, pick up",0.5,0,medium
"Mail a package.",2025-09-14,"mail, package, post office",0.5,0,medium
"Buy tickets for a concert.",2025-09-14,"tickets, concert, buy",0.5,0,medium
"Clean and organize the refrigerator.",2025-09-14,"clean, organize, refrigerator",1.5,0,medium
"Get car emissions test done.",2025-09-13,"car, emissions, test",1.5,0,medium
"Organize the refrigerator.",2025-09-14,"organize, refrigerator, food",1.5,0,medium
"Book a restaurant reservation.",2025-09-14,"book, restaurant, reservation",0.25,0,medium
"Grocery shopping for the week.",2025-09-13,"grocery, shopping, week",2,0,medium
"Take clothes to the tailor.",2025-09-13,"clothes, tailor, take",0.5,0,medium
"Wash the car's exterior.",2025-09-14,"wash, car, clean",1,0,medium
"Review financial statements for the month.",2025-09-14,"review, financial, statements",2,0,medium
"Help a friend move.",2025-09-15,"help, move, friend",4,0,medium
"Prepare for a presentation at a club meeting.",2025-09-14,"presentation, club, prepare",3,0,medium
"Buy a birthday gift for a colleague.",2025-09-13,"gift, birthday, colleague",1,0,medium
"Schedule a house-sitter for vacation.",2025-09-14,"house-sitter, schedule, vacation",0.5,0,medium
"Clean out the car's interior.",2025-09-15,"clean, car, interior",2,0,medium
"Research and book a hotel for a trip.",2025-09-15,"research, hotel, book",1.5,0,medium
"Shop for birthday party decorations.",2025-09-14,"decorations, birthday, shop",1.5,0,medium
"Buy new tires for the car.",2025-09-14,"tires, car, buy",2,0,medium
"Clean the gutters.",2025-09-20,"clean, gutters, house",3,0,low
"Wash and fold all the laundry.",2025-09-20,"laundry, wash, fold",3,0,low
"Organize the kitchen pantry.",2025-09-25,"organize, kitchen, pantry",2,0,low
"Change the bedsheets.",2025-09-20,"bedsheets, change, laundry",0.5,0,low
"Mow the lawn.",2025-09-20,"mow, lawn, yard work",1.5,0,low
"Clean out the refrigerator.",2025-09-25,"clean, refrigerator, kitchen",1,0,low
"Schedule a hair appointment.",2025-09-25,"hair, appointment, schedule",0.25,0,low
"Write a letter to a family member.",2025-09-25,"letter, write, family",0.5,0,low
"Clean the windows.",2025-09-28,"clean, windows, chores",3,0,low
"Repair a broken chair leg.",2025-09-20,"repair, chair, broken",1,0,low
"Organize clothes in the closet.",2025-09-28,"organize, clothes, closet",2.5,0,low
"Plan meals for the upcoming week.",2025-09-20,"meals, plan, week",1,0,low
"Plan a weekend getaway.",2025-09-25,"plan, getaway, weekend",2,0,low
"Cook a new recipe.",2025-09-22,"cook, recipe, new",1.5,0,low
"Clean the oven.",2025-09-26,"clean, oven, kitchen",2,0,low
"Organize the kids' toys.",2025-09-25,"organize, toys, kids",2,0,low
"Wash the curtains.",2025-09-25,"wash, curtains, laundry",2,0,low
"Attend a yoga class.",2025-09-18,"yoga, class, routine",1,0,low
